restaurant_name,user_name,age_gender,usage_count,date,purpose,overall_score,plan_score,atmosphere_score,food_score,cost_performance_score,service_score,plan_menu,comment_food_drink,comment_atmosphere_service,comment_reactions
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,ゆきんこさん,50代前半（女）,2名,2024/12/30,いつものデート,4.2,5,5,4,4,3,【販売終了】【クリスマス2024】Christmas Afternoon Tea+推し活カラードリンク1杯&カフェフリー+3時間制(11/1～12/31),しょっぱいものとバランスもよく美味しかったです。ただハンバーグは美味しくなかったです。,席は横並びで周りに他の人がいないソファー席で良かったのですが、ドリンクオーダーは店員さんはチラッと見ただけで注文聞きに来ないのでこちらから声掛けしました。笑顔が素敵な方もいましたが真顔の人もいて残念でした。,とても喜んでいました。甘いものとしょっぱいもののバランスがいいと言ってました。
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,Jasmineさん,30代後半（女）,3名,2024/12/30,女子会,4.8,5,5,5,5,4,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),仕事で忙しくXmasを味わえなかった女子3人で利用させてもらいました。クリスマスモチーフの可愛いスイーツもあり見た目も楽しませていただきました。お料理、スイーツ全てお味が良く満喫させていただきました,店内のシックな雰囲気だけでも友人は満足していました。また店員さんの気配りもあり過ごしやすいです。アフタヌーンティーはお品が多くて食べきれないプランはありますが、こちらのプランは、ちょうど満腹！になる量で、食べ切れました。,お店の雰囲気やアフタヌーンティーの見た目にも満足しておりました。お茶の種類も多く、どれも美味しく友人は大興奮していました。
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,nさん,30代前半（女）,2名,2024/12/28,家族との食事,5.0,5,5,5,5,5,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),とてもおいしかったです^^子供向けのメニューもあり、コスパ良しでリーズナブルでした。,子連れだったこともあり、離席しているとテーブルへの提供を待ってくれるといった気配りがありがたかったです。,Unknown
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,カズーさん,40代前半（男）,2名,2024/12/26,いつものデート,4.6,5,5,4,4,5,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),アフタヌーンティーだと甘いものが多くて飽きてしまいますがしょっぱものとバランスもよく美味しかったです。ただハンバーグは美味しくなかったです。紅茶も色々な種類がありとても美味しく帰りにTWGのショップで紅茶を買って帰りました。,とても雰囲気もよくちょうど夕暮れてとてもいい景色でした。店員さんの笑顔が素敵な方もいましたが真顔の人もいて残念でした。,とても喜んでいました。クリスマスアフタヌーンティーは甘いものが多くて飽きてしまうのですがバランスがいいといってました。
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,Momoeさん,20代前半（女）,4名,2024/12/29,女子会,5.0,5,5,5,5,5,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),13種類のTWGの紅茶を飲み放題で堪能でき、大満足でした！アフタヌーンティーの料理やスイーツの内容も充実していて、苺のミルフィーユまでいただくことができました。,落ち着いたおしゃれな雰囲気で、ご用意いただいたソファータイプの席も良かったです。電車の遅延により、予約時間に遅れてしまう旨を電話でお伝えしたのですが、利用時間の延長こそできないものの、快く対応してくださりました。,私含め皆大変満足しており、ぜひまた伺いたいねという話をしました。
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,ぱるむさん,20代前半（女）,2名,2024/12/31,いつものデート,5.0,5,5,5,5,5,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),アミューズでクラムチャウダーが出てきたり最後に苺のミルフィーユもあったので、お腹いっぱいになりました。見た目が可愛らしいのももちろん一つ一つの味もとても美味しかったです。ドリンクはアイスホットともに種類が豊富でした。おかわりをするかどうか適宜店員さんがお声がけしてくださったのもありがたかったです。クリスマス限定のドリンクやTWGのものがとても美味しかったです。,2人席でソファ席椅子席共に座り心地が良かったです。仕切りがあるわけではありませんが隣のお客さんとも適度に距離があり居心地の良い空間でした。3時間制なのも一緒に行く人とゆっくり会話を楽しめて良かったです。端の席だったこともあり人目も殆ど気になりませんでした。店員さんの方から写真を撮りましょうか？とお声がけしてくださり、一緒に行った彼氏とのツーショットを撮ってくれたのも嬉しかったです。優雅な空間に丁寧な接客、デートにも女子会にもぴったりの空間だと思います。,アフタヌンティーははじめてで緊張したと言ってましたが、どれも美味しいと感動していました。思ったよりも満腹になったと言っていました。紅茶やコーヒーも美味しかったと言っていました。連れてきてくれてありがとうと言ってくれました。甘いスイーツが好きで大食漢でなければ男性の方も満足できるプランだと思います。
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,りゅうちゃんさん,30代後半（男）,2名,2024/12/25,家族との食事,4.0,4,4,4,4,4,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),量も質も満足でバランスもよく、非常に楽しめました。チーズケーキが美味しかった。,落ち着いていて、優雅な時間を過ごせました。気配り出来る店員さんばかりです。,Unknown
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,なおなおさん,50代前半（女）,2名,2024/12/25,友人・知人との食事,5.0,5,5,5,5,5,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),食べるのが勿体無いくらい可愛いく、クリスマス気分を味わえました。味もすべて美味しかったです。紅茶も普段自分ではなかなか飲まない味も楽しめて良かったです。説明が書いてあるのもありがたかったです。,お店の雰囲気も落ち着いていて、ソファ席でゆっくり出来ました。お店の方もメニューを見ているとすぐに声をかけてくれました。,とても喜んでくれました。3時間ゆっくり出来るのが嬉しいです。
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,ベルさん,20代前半（女）,2名,2024/12/21,女子会,4.8,5,5,4,5,5,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),紅茶はどれも美味しく、種類も豊富で楽しかったです。香りや味のイメージができる紅茶の紹介文もあったため、選びやすかったです。お食事に関しては、どれもとても美味しかったですが、最後に提供された苺のミルフィーユパイが甘くくどかったのが少々残念でした。,うるさすぎず、静かすぎず、居心地のよい空間でした。スタッフの方々もとても優しくにこやかで非常に気持ちが良かったです。,スタッフの方々の対応がとても良かったと言っております。ミルフィーユパイは甘すぎたが、総合としてとても美味しいアフタヌーンティーだったと非常に満足しているようでした。
THE GRAND LOUNGE／THE GRAND GINZA（ザ・グラン ラウンジ）,ポテトさん,20代前半（女）,2名,2024/12/26,女子会,4.4,5,5,3,4,5,【販売終了】【クリスマス2024】Christmas Afternoon Tea+TWG紅茶など3時間カフェフリー(11/1～12/31),紅茶の種類が豊富で飽きませんでした！ポットでの提供なので友達とシェアすることができました。,どの店員も笑顔で対応してくださいました。提供もはらかったです！,アフタヌーンティーは高いですが、店員さんの気さくさ、雰囲気を考えたらこすぱよいです！
