restaurant_name,user_name,age_gender,usage_count,date,purpose,overall_score,plan_score,atmosphere_score,food_score,cost_performance_score,service_score,plan_menu,comment_food_drink,comment_atmosphere_service,comment_reactions
ラデュレ日比谷店,めぐりんさん,50代前半（女）,2名,2024/9/9,友人・知人の誕生日,1,1,1,1,1,1,【販売終了】【栗づくしアフタヌーンティー】(土日祝限定),まず食事の量が貧弱。2人分まとめて届いたときに1人分かと思いました。アイテム自体が極端に甘いものに偏っており、味のバリエーションもなく飽きる。ドリンクは　ホットドリンク　2点　コーヒーまたは紅茶という記載で、入店時に対象となる紅茶とコーヒーの説明もあったので時間内は対象のコーヒーか紅茶ならお代わり自由なのかと思っていましたが、結局1人につき紅茶かコーヒーどちらか1点のみのオーダーという意味だったようで、紅茶とコーヒーを一杯ずつ注文したら追加料金が加算されていてびっくりしました。,席自体が90分制で、ドリンクのラストオーダーが30分前ですが、ラストオーダーの声掛けはなし。店員さんの目配りは一切なく、最初にドリンクが出てくるまでに時間がかかり、追加時にも時間がかかり、タイトな時間制限の中、水分無しで急いで甘いものを掻き込まなければいけない感じで、ゆっくりするどころではありませんでした。予約時にOZポイント利用も申し込んでいましたが、会計の際反映されておらず、雰囲気もサービスも残念でした。,友人のお誕生日祝いで利用しましたが、システムが分かりにくいし残念なお店だねと言っていました。同行の友人とこれまで50店近いアフタヌーンティーを一緒に利用してきましたが、コストパフォーマンスは断トツ最下位です。ラブリーな佇まいのお店ですが、内容が空虚でここまで残念だったのは初めてかも。
カスケード 銀座店,ロザンヌさん,30代前半（女）,3名,2024/2/10,友人・知人の誕生日,1,1,1,1,1,1,【販売終了】【いちご×シーズンフルーツ】季節アフタヌーンティー+3時間カフェフリー+お祝いトランクケーキ,全て既製品で味も量販店で購入したような感じでパサパサでした。とてもアフタヌーンティーと呼べるものではないと思います。,雑多な感じで安っぽく、お祝いの場には相応しくなかったです。パセラグループだと知らずに予約しました。明記いただきたいです。,正直きまずかったです。奥の丸テーブルに案内されましたが、手前の席も空いていたのでせめてそちらが良かったです。トイレに近く消臭剤のような匂いが常にしていました。
OVAL CAFE,あやかさん,20代前半（女）,2名,2023/11/18,家族の誕生日,1,1,1,1,1,1,【販売終了】【モダンチャイニーズアフタヌーンティー】+2時間飲み放題,アフタヌーンティー全体の構成や充実したカフェフリーは良かったのですが、タルトが薄くクリームも味が浅く、既製品を使っているのではないかとさえ思えました。それぞれの存在感が薄く、物足りないと感じました。,連絡事項の伝達を前日の夜ギリギリにされました。「誕生日祝いで利用するのでプレートを希望する」と、かなり前もって伝えたにもかかわらず、直前まで何も連絡が来ませんでした。お互い人間ですから平謝りしろとまでは言いませんが、その点に関してなんの断りもなかったことが気がかりでした。店員さんもメニューに対する解像度が低く、せっかくのお料理が台無しでした。,Unknown
Cafe & Dining ZelkovA（カフェ アンド ダイニング ゼルコヴァ）,Tさん,10代（女）,2名,2024/4/3,その他,1,1,1,1,1,1,【販売終了】【春キャンペーン】ストロベリーアフタヌーンティー+TWGカフェフリー(平日限定・3/5～5/8),季節に合ったいちごの可愛いアフタヌーンティーでした。1つ1つ見た目も綺麗で可愛く、味も美味しかったです。,店内は内装がとても可愛く気分が上がりました。店員さんのサービスにも満足です。,Unknown
メロディア,ミユキさん,30代後半（女）,2名,2023/12/4,家族との食事,1,1,1,1,1,1,【販売終了】ストリングス フェスティブアフタヌーンティー+カフェフリー(12/1～12/27),ウェルカムドリンクが美味しかったのと、飲み物の種類も豊富でした。,入店の際もスタッフ同士が会話しており、こちらに気づいていながらお声かけがありませんでした。ドリンクの提供タイミングや食器を下げるタイミング、ドリンクもどれを取ってもホテルに入っているレストランとしての接客マナーが感じられず、期待したいただけにがっかりでした。,Unknown
ママロンパーティー,Riimiさん,20代後半（女）,2名,2024/9/22,女子会,1.2,1,1,2,1,1,【販売終了】【マスカットアフタヌーンティー】ケーキやミニパフェなど+カフェフリー+レンタルドレス(1F指定・土日祝・～11/30),アフタヌーンティーのセットがお店に到着した際には既に置かれていてケーキなどの生ものもあったので、衛生的に心配になりました。カフェフリーに惹かれて楽しみにしていましたが、こちらから声をかけないとおかわりは持って来てもらえません。ケーキやサンドウィッチなども見た目重視なのか甘すぎるものや味がよく言えば素朴なものが多く4500円のクオリティは無いと思いました。,予約の際にドレスレンタルの利用を希望しますか？とあったので「希望する」を選択したのにもかかわらず席に案内するだけでドレスレンタルの案内はありませんでした。ドレスレンタルについて伺ってみると2階へどうぞと言われ、観に行くと殆どのドレスに汚れや破れがありました。(ピンクなどの可愛らしいドレスには下着が見えそうなくらいの大きな穴が空いていたり、汚れがあった)ウェットティッシュなども全て客が店員に声をかけないと出て来ません。,正直別のアフタヌーンティーを予約すれば良かったと後悔しました。
カスケード 銀座店,ゲストユーザーさん,30代後半（女）,2名,2024/10/13,女子会,1.2,1,1,1,2,1,【販売終了】ハロウィンアフタヌーンティー+3時間カフェフリー(土日祝),ドリンクはティーパックで自分で入れなければいけません。安いのでそれは良いのですが、お湯が切れていたり氷がほとんど入っていなかったりしました。食べ物は作って放置してあるのか、上に乗っているクッキーのようなものがしんなりしていたりして食感が悪いです。系列ホテルのウェルカムスイーツと同じところが作っているのでしょうか、全体的に美味しくなかったです。,案内の手際が悪く、自分より後に来た人が席に通されていたり、2名で予約していたのに「3名様ですよね？」と確認されたりしました。ドリンクは2杯目からセルフだという説明も無かったので、こちらから聞きました。席は多く綺麗なところもあったのですが、暗く落ち着かない席だったのも残念です。,安かろう悪かろうという感想です。同じ金額なら、系列カラオケに入って好きフードを頼んだ方がずっと落ち着けるし美味しいです。
HAND BAKES（ハンド ベイクス）,SUNさん,40代前半（女）,3名,2024/4/19,家族の誕生日,1.2,2,1,1,1,1,【販売終了】【カジュアル★アフタヌーンティー】8種のスイーツ＆セイボリー+選べるカフェ,ドリンクの紅茶はフリーにしなかったのですが、ポットのお湯の量が少なく残念だった。料理はどれも甘いだけでおいしいものはなかった。パンも冷たくまずい。,テープルが汚れていた。紅茶の種類を聞いたが店員の対応も冷たく気分が悪くなった。,Unknown
新宿 アクアリウムダイニング JeMare-ジェマーレ-,eeeさん,20代前半（女）,2名,2023/12/29,いつものデート,1.2,1,1,2,1,1,【販売終了】【旬のいちごを楽しむ★深海アフタヌーンティー】世界三大珍味も+乾杯スパークリング＆Mighty Leafの紅茶飲み放題(11月1日～),食事は普通で美味しい。クリームチーズと書いてありながらクリームチーズは本当に少なかったり、マリトッツォありながら生クリームはほとんど入っていない。強いて言うなら紅茶は美味しい。,店の手違いで予約がスルーされていて到着後予約時間超えても案内されず。早くついたが開始時刻は遅れた。にも関わらず終了時刻はぴったり。なんならとても急かされる。外国人の店員で店のバックヤードからは異国語と笑い声が聞こえる。空いている席で店員が事務作業をしている。お皿とカップの汚れが気になる。水槽とアフタヌーンティーの写真を映え目的で どうしても 撮りたいならいいと思う。が、あの雰囲気であの料理ならこれくらいの価格帯でもっと良い雰囲気で良い接客で美味しいアフタヌーンティーは山ほどある。映えだけを目的としていないのならば他をおすすめする。,料理は普通に美味しかったけど雰囲気と接客が、、という感じだった。もう次は無いね。という話をした。
Pepper PARLOR（ペッパー パーラー）,あちゅーるさん,60代前半（女）,2名,2024/4/3,友人・知人との食事,1.4,3,1,1,1,1,【販売終了】アフタヌーンティー★いちごの王様あまおうがテーマの11品を堪能+ウェルカムドリンク＆カフェフリー+ソファー席確約,イチゴが乾燥していて、パサパサしたものが含まれていた。ホットコーヒーを注文したのですが、冷めていて、ぬるーいコーヒーがきて本当にまずかったです。,オズモールで予約した時間に到着したのですが、従業員は外国人の対応に追われていた様子で、予約していた私達に「ちょっと待ってください」と嫌な顔をされてかなり待たされました。予約した意味がないのではと思いました。,人手不足は仕方ないけど、ちゃんと仕事を回せる責任者がいないことを残念がっていました。
