word,frequency
美味しい,245
ドリンク,190
アフタヌーンティー,165
良い,144
種類,111
味,104
紅茶,90
スイーツ,82
食事,77
とても,71
量,68
甘い,66
残念,64
多い,61
見た目,55
よい,54
料理,53
普通,52
少ない,49
セイボリー,45
提供,44
飲み物,43
ケーキ,43
メニュー,43
可愛い,42
デザート,41
よう,39
感じ,36
お茶,36
予約,35
時間,32
いい,32
方,31
内容,29
コーヒー,28
いちご,28
スコーン,28
少し,28
ポット,27
他,27
利用,27
豊富,26
おいしい,26
店,24
値段,24
人,23
注文,23
プラン,23
杯,22
セット,22
さん,22
フリードリンク,22
分,21
的,21
特に,21
写真,21
悪い,20
全体的,20
飲み放題,20
かなり,20
店員,20
一つ,20
オーダー,19
一,19
円,19
もう少し,19
席,19
抹茶,19
たくさん,19
系,19
ボリューム,19
時,18
フリー,18
ホテル,18
おすすめ,18
期待,18
大きい,18
チョコレート,18
感,17
嬉しい,17
お腹,17
パン,16
ホット,16
ちょうど,16
ため,16
満足,16
色々,16
マカロン,16
苺,16
薄い,15
好き,15
あまり,15
目,15
プレート,15
カフェ,14
安い,14
少なめ,14
もっと,14
後,14
物,14
説明,13
こちら,13
自分,13
食べ物,13
イチゴ,13
小さい,13
高い,13
ティー,13
最後,13
まあ,13
バランス,13
いっぱい,13
中,13
全て,12
全体,12
クリーム,12
綺麗,12
楽しみ,12
よく,12
これ,12
類,12
フルーツ,12
テーブル,12
メイン,12
ちょっと,12
桃,12
皿,12
物足りない,11
ところ,11
コスパ,11
最初,11
正直,11
葉,11
大変,11
何,11
サイズ,11
サンドイッチ,11
グラス,11
代わり,10
追加,10
パサパサ,10
声,10
それ,10
雰囲気,10
そう,10
通り,10
カヌレ,10
ミルク,10
やすい,10
可愛らしい,10
可,10
不可,10
アイス,10
料金,9
季節,9
上,9
ぬるい,9
ドリンクバー,9
場所,9
私,9
茶,9
そこ,9
香り,9
欲しい,9
友人,9
以外,9
ランチ,9
スタンド,9
価格,9
制,9
ウェルカム,8
かわり,8
ほとんど,8
気,8
全く,8
ビュッフェ,8
今回,8
印象,8
すごい,8
すぐ,8
口,8
寿司,8
カップ,8
交換,8
段,8
割,8
前,8
点心,8
点,7
クオリティ,7
無い,7
冷たい,7
本当に,7
生クリーム,7
なかなか,7
遅い,7
カラオケ,7
個人的,7
食べ放題,7
サービス,7
以前,7
案内,7
必要,7
ポイント,7
用意,7
アイスティー,7
回,7
好み,7
クリスマス,7
お願い,7
品,7
ムース,7
特別,7
コース,7
楽しい,7
クロワッサン,7
メロン,7
やはり,7
フレーバーティー,7
前菜,7
バリエーション,6
